106.59,36.09,25.43,6.39,0.5600,0.9958,0
-110.81,239.33,26.88,9.94,0.3327,0.9923,0
369.84,163.41,23.43,7.59,0.9102,0.9900,0
127.96,331.63,22.12,9.14,1.1342,0.9842,0
-150.71,366.07,29.00,6.09,1.2220,0.9732,0
136.83,-10.77,21.90,7.37,0.6995,0.9675,0
-139.03,12.43,23.10,8.42,0.8183,0.9598,0
-104.83,202.36,31.12,7.68,0.3369,0.9578,0
401.13,407.72,38.53,9.02,1.0192,0.9314,0
-127.83,309.51,14.65,13.24,0.2348,0.9193,0
13.49,131.59,26.80,7.57,1.1486,0.8946,0
107.02,399.04,28.07,10.03,0.3098,0.8739,0
319.14,152.81,27.37,11.00,1.4171,0.8139,0
-75.27,353.73,15.54,8.82,-0.0740,0.7682,0
146.50,269.60,29.75,4.87,1.1801,0.7346,0
234.41,232.41,34.23,10.95,0.9287,0.7239,0
0.04,-30.67,22.31,9.92,-0.0229,0.7222,0
102.67,437.14,31.62,7.51,0.2197,0.7125,0
-106.55,36.03,27.76,6.96,-0.5833,0.6929,0
-136.65,224.28,30.30,6.20,1.3741,0.6864,0
42.25,157.66,17.46,9.75,-0.0564,0.6666,0
-73.59,286.16,18.81,6.22,1.4290,0.6629,0
-44.56,160.13,21.36,7.44,-0.4244,0.6621,0
108.25,239.31,25.77,10.58,-0.1441,0.6457,0
166.25,174.04,18.94,5.11,1.2715,0.6372,0
148.12,370.09,39.64,8.88,-1.2419,0.6269,0
272.75,189.40,24.12,14.52,0.2149,0.6222,0
106.94,-37.66,35.97,6.54,-0.5784,0.6120,0
137.68,417.66,27.35,6.25,1.3263,0.5982,0
131.78,304.22,13.57,9.15,-1.2736,0.5929,0
-108.60,400.24,29.74,7.98,-0.5493,0.5752,0
135.39,12.00,21.55,8.84,-1.2539,0.5694,0
99.73,203.15,29.85,5.66,-0.2120,0.5673,0
60.60,-0.55,29.96,6.70,-1.5451,0.5661,0
-11.41,-131.03,28.89,9.17,1.0913,0.5576,0
12.12,-136.01,29.20,9.62,-1.0127,0.5051,0
270.86,162.91,24.37,14.08,-1.1323,0.5036,0
70.08,352.53,19.68,10.08,1.2457,0.5034,0
164.99,467.49,14.39,5.52,-1.4047,0.4990,0
-11.99,134.75,21.88,8.99,-1.2555,0.4755,0
-62.58,-3.81,29.70,6.15,-1.5325,0.4478,0
46.19,-154.25,20.83,13.41,0.0823,0.4201,0
-149.32,272.19,32.96,5.67,-1.2796,0.4189,0
71.98,295.45,26.27,6.15,-1.4768,0.4187,0
-61.93,8.38,22.23,8.36,1.3859,0.4164,0
472.11,172.90,16.43,4.44,-1.2981,0.4100,0
-103.23,435.84,25.58,6.77,-0.2414,0.3933,0
235.37,408.04,30.94,7.75,-0.9152,0.3607,0
-39.96,152.93,12.73,10.42,1.2891,0.3544,0
-107.07,-36.55,28.01,6.53,0.4607,0.3480,0
-49.67,348.60,17.42,7.39,-1.4523,0.3377,0
270.33,457.43,17.14,6.73,-1.5252,0.3158,0
