452.05,255.48,25.40,4.92,0.4443,0.9998,0
95.56,-34.59,19.52,6.89,0.5571,0.9932,0
-97.30,33.05,19.67,7.12,0.4540,0.9924,0
195.27,447.59,23.77,6.03,1.1574,0.9795,0
262.81,252.35,22.98,7.58,0.5490,0.9705,0
229.91,-94.67,24.81,7.29,0.1214,0.9427,0
184.14,380.67,26.43,5.66,0.3462,0.9235,0
-113.91,161.36,23.62,8.66,1.1184,0.9136,0
405.84,95.84,27.04,7.10,0.0442,0.9040,0
310.12,48.37,15.38,4.64,-0.0095,0.8764,0
230.03,96.02,26.53,6.76,-0.0285,0.8695,0
309.63,-127.54,15.37,5.72,-0.0744,0.8526,0
444.59,190.67,26.92,5.75,1.2179,0.8375,0
266.34,-133.23,23.90,6.36,1.2855,0.8309,0
378.73,386.87,21.14,5.58,0.4109,0.7721,0
49.77,318.21,24.20,5.78,1.2058,0.7599,0
403.89,-95.69,31.43,6.39,0.0021,0.7486,0
320.91,126.41,23.65,6.87,0.0136,0.7154,0
320.59,426.50,20.42,7.26,1.5110,0.6948,0
371.81,133.05,21.84,8.95,1.2766,0.6738,0
280.86,279.87,32.38,6.69,0.1268,0.6393,0
309.55,-48.22,14.50,4.87,-0.0287,0.6259,0
378.08,251.27,18.17,5.35,-0.5608,0.5665,0
-72.62,196.39,19.77,7.02,-1.2106,0.5573,0
98.69,215.34,24.09,7.50,1.4782,0.5457,0
285.31,357.80,27.41,6.05,0.0619,0.5227,0
63.66,7.66,20.48,6.51,-0.4361,0.5049,0
266.73,135.00,17.80,6.42,-1.2481,0.4952,0
374.61,-133.47,27.82,8.87,1.4750,0.4678,0
184.17,256.51,31.30,5.47,0.0027,0.4648,0
261.98,386.79,23.33,6.92,-0.4354,0.4532,0
127.48,303.56,15.63,4.57,-1.5107,0.3951,0
194.65,191.47,26.63,6.36,-1.1749,0.3933,0
127.31,339.94,14.22,4.85,-1.3932,0.3700,0
-95.82,-32.81,19.56,9.93,-0.3815,0.3653,0
-103.22,422.64,23.02,8.30,1.4490,0.3515,0
205.07,252.85,16.35,9.72,1.1880,0.3486,0
23.09,197.54,22.25,8.61,1.2860,0.3467,0
208.12,-113.41,21.11,8.42,1.2405,0.3452,0
444.78,444.83,29.41,6.17,-1.2508,0.3395,0
71.57,196.59,15.79,6.93,1.5649,0.3346,0
353.76,357.75,20.64,5.10,0.0055,0.3014,0
